62,18,39,60,22,SEDANG
65,25,36,46,20,SEDANG
55,17,30,45,17,SEDANG
60,16,27,65,17,SEDANG
62,17,31,40,16,SEDANG
49,13,31,29,11,BAIK
57,22,44,59,24,SEDANG
63,14,40,38,20,SEDANG
48,15,31,22,10,BAIK
50,16,21,25,10,BAIK
48,12,19,47,25,BAIK
57,15,36,57,29,SEDANG
61,13,31,48,17,SEDANG
60,17,38,59,17,SEDANG
61,13,40,80,32,SEDANG
60,12,42,73,19,SEDANG
61,16,40,77,26,SEDANG
63,14,36,35,20,SEDANG
54,16,20,31,9,SEDANG
43,16,33,28,6,BAIK
53,15,27,44,11,SEDANG
60,17,34,37,25,SEDANG
54,14,43,46,15,SEDANG
60,15,45,74,29,SEDANG
39,12,40,34,26,BAIK
44,17,36,29,14,BAIK
52,14,45,30,15,SEDANG
48,18,28,71,21,SEDANG
65,17,34,48,16,SEDANG
51,18,23,43,12,SEDANG
68,18,80,45,17,SEDANG
45,15,25,33,17,BAIK
49,19,33,36,15,BAIK
48,17,45,67,20,SEDANG
59,23,39,70,20,SEDANG
57,17,22,35,15,SEDANG
52,16,27,35,14,SEDANG
53,16,28,43,16,SEDANG
56,17,35,44,23,SEDANG
53,16,39,52,22,SEDANG
47,19,32,44,21,BAIK
48,17,26,54,17,SEDANG
51,15,35,26,19,SEDANG
56,19,45,30,19,SEDANG
50,16,43,65,21,SEDANG
38,11,32,29,11,BAIK
51,11,45,39,14,SEDANG
37,13,25,55,12,SEDANG
25,11,18,50,17,BAIK
24,10,18,51,13,SEDANG
28,12,26,42,11,BAIK
36,13,34,42,22,BAIK
36,12,28,21,14,BAIK
31,14,26,49,16,BAIK
51,16,32,50,15,SEDANG
49,14,25,34,11,BAIK
37,14,30,39,15,BAIK
41,14,30,30,18,BAIK
55,15,64,45,22,SEDANG
57,20,53,57,25,SEDANG
55,19,49,58,22,SEDANG
57,21,49,32,22,SEDANG
32,15,20,46,11,BAIK
50,18,36,51,22,SEDANG
37,16,31,71,21,SEDANG
62,21,35,78,28,SEDANG
65,19,36,62,23,SEDANG
54,17,32,100,23,SEDANG
56,18,41,67,20,SEDANG
60,16,62,43,19,SEDANG
39,15,44,51,27,SEDANG
54,22,39,63,23,SEDANG
69,27,41,71,24,SEDANG
50,17,42,80,30,SEDANG
62,21,36,59,24,SEDANG
53,16,44,62,21,SEDANG
